,ID,Current Place,Latitude,Longitude,Food you like most,Expected food price of that favorite food,Restaurant location
0,151340976,Goran,23.75027,90.43413,Biriyani,150,Khilgaon
1,151340977,Banasree,22.513531,88.301537,Kacchi,200,Dhanmondi
2,151340980,Niketon,23.70731,90.41548,,200,Dhanmondi
3,151340981,Shaymoli,22.301411,70.822357,Burger,70,Dhanmondi
4,151340982,Bangshal,-32.34861,151.924576,Burger,1000,Dhanmondi
5,151340983,Dania,23.701443,90.442194,Biriyani,180,Shantinagar
6,151340984,Jurain,23.697285,90.431817,Biriyani,250,Dhanmondi
7,151340985,Lalbag,23.70731,90.41548,RegularFood,400,Dhanmondi
8,151340986,Rampura,23.761227,90.420769,Biriyani,150,
9,151340988,Rampura,23.761227,90.420769,Chicken,350,Dhanmondi
10,151340990,Dania,23.701443,90.442194,khichuri,150,Khilgaon
11,151340991,Mohammadpur,23.7658,90.3584,FastFood,250,Dhanmondi
12,151340992,Jigatola,23.737286,90.37161,Chicken,100,Dhanmondi
13,151340994,Shamoli,23.70731,90.41548,Biriyani,200,Shyamoli
14,151340995,Green Corner,23.745173,90.386421,Biriyani,200,Dhanmondi
15,151340996,Shahjahanpur,27.883743,79.912247,Biriyani,220,Dhanmondi
16,151340998,Khilgaon,23.70731,90.41548,Biriyani,150,Khilgaon
17,151341000,Banani,23.793993,90.404274,RegularFood,20,
18,151341001,Uttara,24.098379,90.328712,Burger,50,Khilgaon
19,151340894,Mirpur,23.776604,90.382988,Biriyani,120,Mirpur
20,151340897,Mohanogor,23.734558,90.384998,Egg,200,
21,151340898,Gopibag,23.722109,90.426212,Tea,80,Gulshan
22,151340900,Rampura,23.761227,90.420769,Hilsa,800,
23,151340901,Shantinagar,23.7382,90.4143,Biriyani,140,Dhanmondi
24,151340902,Siddeswari,23.70731,90.41548,Biriyani,250,Banani
25,151340903,Narinda,23.70731,90.41548,Mutton,150,Banani
26,151340904,Mugdapara,23.730534,90.446159,Chicken,100,Shantinagar
27,151340905,Shahidbag,23.828959,90.375672,Pizza,500,Khilgaon
28,151340906,Tejgaon,23.759815,90.391319,,120,Dhanmondi
29,151340907,Rampura,23.70731,90.41548,Biriyani,160,Khilgaon
30,151340909,Aftabnagar,23.768518,90.425641,Chicken,300,Banani
31,151340910,Goran,12.16007,7.87021,Kacchi,150,Dhanmondi
32,151340911,Tejgaon,23.759815,90.391319,Pasta,250,Dhanmondi
33,151340912,Mohammadpur,23.765844,90.35836,Biriyani,220,Dhanmondi
34,151340913,Rampura,23.70731,90.41548,Pasta,190,Khilgaon
35,151340914,Mirpur,33.24981,74.26156,,250,Mirpur
36,151340916,Rampura,23.70731,90.41548,Hilsha,30,Khilgaon
37,151340917,Maniknagar,23.70731,90.41548,Beef,300,Khilgaon
38,151340918,India,24.15966117,90.64846158,Biriyani,250,Dhanmondi
39,151340919,Uttara,23.873751,90.396454,Kacchi,400,Banani
40,151340920,Khilgaon,23.743617,90.426681,Kacchi,160,Khilgaon
41,151341035,Green Road,46.09124,-67.755478,,,
42,121440946,Mirpur,23.838115,90.36452,,150,Mirpur
43,151341043,Siddheswari,23.70731,90.41548,RegularFood,200,BailyRoad
44,141440945,Dhanmondi,23.741067,90.364753,RegularFood,235,Dhanmondi
45,151341040,Niketan,23.77195,90.410318,RegularFood,300,Banani
46,151341045,Wireless Gate,23.7822038,90.4086827,Cake,150,Gulshan
47,141440962,Rajarbag,23.742991,90.416032,Beef,200,BailyRoad
48,151341037,Mohakhali,23.781866,90.397428,Biriyani,200,Dhanmondi
49,151341044,Modhubag,23.75124,90.409029,Hilsha,400,Khilgaon
50,151341038,Siddheswari,23.70731,90.415482,,300,Dhanmondi
51,151341039,Niketan,23.772723,90.407411,Pasta,300,Khilgaon
52,131440969,Niketan Bazar,28.35018,77.28774,Biriyani,200,Gulshan
53,151341036,North Road,23.743926,90.387736,Waffle,250,Gulshan
54,141440899,Mohakhali DOHS,23.78286,90.395439,Pasta,350,Banani
55,131440910,Modhubag,23.757242,90.412399,Pizza,300,Khilgaon
56,141340900,modhubag,23.757243,90.412399,Kacchi,450,Khilgaon
57,151341031,Ajimpur,23.720856,90.384846,,180,
58,141440980,Mirpur,33.147984,73.75367,,170,Khilgaon
59,151341008,Katasur,40.28236,-79.69305,Kacchi,150,Shyamoli
60,151341004,Lalmatia,23.7571291,90.3685188,FastFood,300,Gulshan
61,151341004,Lalmatia,23.7571291,90.3685188,FastFood,,
62,151341006,Mirpur Dohs,23.70731,90.41548,FastFood,300,Dhanmondi
63,151341016,Banasree,22.513531,88.301537,ChineseFood,200,Shantinagar
64,151341013,Jigatola,23.738078,90.372485,RegularFood,300,Banani
65,151341026,Chand Housing,23.758861,90.35858,RegularFood,180,Dhanmondi
66,151341023,Shekhertek,23.838511,90.224784,ChineseFood,200,Shyamoli
67,151341027,Modhubag,23.760223,90.411561,RegularFood,90,Dhanmondi
68,151341015,Kafrul,23.70731,90.415482,RegularFood,200,Dhanmondi
69,151341028,Mirpur 6,23.814654,90.362371,RegularFood,200,Dhanmondi
70,151341017,Tajgaon,23.7598,90.3913,FastFood,200,Banani
71,151341011,Mugda,23.729556,90.429214,RegularFood,200,
72,151341014,Bijoy Sarani,23.761888,90.390841,FastFood,500,Dhanmondi
73,151341005,Bashabo,23.70731,90.415482,ChineseFood,300,Gulshan
74,151341009,East Rampura,23.708022,90.417885,ChineseFood,300,Dhanmondi
75,151341022,Mohanogor Project ,23.7676,90.4147,FastFood,300,
76,151341029,Segunbagicha,23.7325976,90.4025838,FastFood,1500,Khilgaon
77,151341010,Farmgate,23.7561067,90.3871961,RegularFood,200,
78,151341020,Mirpur 60 Feet,23.790579,90.365308,Kacchi,150,Dhanmondi
79,151341012,Zigatola,23.738078,90.372485,RegularFood,200,Dhanmondi
80,151341021,Rayerbag,23.693846,90.455336,RegularFood,400,Dhanmondi
81,151341019,Shyamoli,23.7718,90.3631,RegularFood,200,Dhanmondi
82,151340921,Tejgaon,23.70731,90.41548,,150,
83,151340923,Siddheshwari,23.744602,90.411456,Pasta,220,Khilgaon
84,151340925,Maniknagar,23.7213894,90.4299279,Cashewnut,250,Dhanmondi
85,151340926,Maniknagar,23.722595,90.429585,Cashewnut,200,Dhanmondi
86,151340927,Mirpur-12,23.70731,90.41548,RegularFood,500,
87,151340928,Mirpur,23.80708505,90.36861281,Biriyani,250,Mirpur
88,151340930,Motijheel,23.70731,90.415482,RegularFood,50,Gulshan
89,151340931,Hazaribagh,23.727835,90.374046,Biriyani,300,Dhanmondi
90,151340932,Tejgaon,23.7636971,90.3706906,RegularFood,120,Dhanmondi
91,151340933,Rampura,23.70731,90.41548,Beef,150,Khilgaon
92,151340934,Rampura,23.70731,90.41548,Biriyani,180,Gulshan
93,151340935,Gulshan 1,23.7786,90.4156,FastFood,200,Dhanmondi
94,151340937,Mirpur-1,23.7956,90.3537,FastFood,150,Dhanmondi
95,151340939,Malibagh,23.758353,90.416229,Burger,60,Khilgaon
96,151340941,Niketon,23.797911,90.414391,FastFood,300,Khilgaon
97,151340942,Shantinagar,23.7382,90.4143,Pasta,300,BailyRoad
98,151340943,Mohakhali,23.780232,90.401148,FastFood,600,Dhanmondi
99,151340944,Kathalbagan,23.746188,90.38987,Beef,160,Dhanmondi
100,151340945,Panthapath,23.751791,90.385936,Biriyani,180,Dhanmondi
101,151340946,Mirpur-10,23.80708505,90.36861281,RegularFood,100,Gulshan
102,151340947,Dhaka Cantonment,26.78293,82.1501,Chicken,250,Gulshan
